time: 0, pid: 1001, old state: new, new_state: ready

time: 0, pid: 1001, old state: ready, new_state: running

time: 1, pid: 1002, old state: new, new_state: ready

time: 2, pid: 1003, old state: new, new_state: ready

time: 3, pid: 1004, old state: new, new_state: ready

time: 10, pid: 1001, old state: running, new_state: waiting

time: 10, pid: 1002, old state: ready, new_state: running

time: 35, pid: 1002, old state: running, new_state: waiting

time: 35, pid: 1003, old state: ready, new_state: running

time: 43, pid: 1003, old state: running, new_state: waiting

time: 43, pid: 1004, old state: ready, new_state: running

time: 52, pid: 1002, old state: waiting, new_state: ready

time: 53, pid: 1004, old state: running, new_state: waiting

time: 53, pid: 1002, old state: ready, new_state: running

time: 78, pid: 1002, old state: running, new_state: waiting

time: 80, pid: 1004, old state: waiting, new_state: ready

time: 80, pid: 1004, old state: ready, new_state: running

time: 90, pid: 1004, old state: running, new_state: waiting

time: 93, pid: 1003, old state: waiting, new_state: ready

time: 93, pid: 1003, old state: ready, new_state: running

time: 95, pid: 1002, old state: waiting, new_state: ready

time: 95, pid: 1003, old state: running, new_state: terminated

time: 95, pid: 1002, old state: ready, new_state: running

time: 100, pid: 1007, old state: new, new_state: ready

time: 100, pid: 1006, old state: new, new_state: ready

time: 100, pid: 1005, old state: new, new_state: ready

time: 117, pid: 1004, old state: waiting, new_state: ready

time: 120, pid: 1002, old state: running, new_state: waiting

time: 120, pid: 1007, old state: ready, new_state: running

time: 137, pid: 1002, old state: waiting, new_state: ready

time: 161, pid: 1007, old state: running, new_state: waiting

time: 161, pid: 1006, old state: ready, new_state: running

time: 195, pid: 1007, old state: waiting, new_state: ready

time: 217, pid: 1006, old state: running, new_state: waiting

time: 217, pid: 1005, old state: ready, new_state: running

time: 241, pid: 1005, old state: running, new_state: waiting

time: 241, pid: 1004, old state: ready, new_state: running

time: 251, pid: 1004, old state: running, new_state: waiting

time: 251, pid: 1002, old state: ready, new_state: running

time: 270, pid: 1001, old state: waiting, new_state: ready

time: 276, pid: 1002, old state: running, new_state: waiting

time: 276, pid: 1007, old state: ready, new_state: running

time: 278, pid: 1004, old state: waiting, new_state: ready

time: 283, pid: 1005, old state: waiting, new_state: ready

time: 293, pid: 1002, old state: waiting, new_state: ready

time: 294, pid: 1006, old state: waiting, new_state: ready

time: 317, pid: 1007, old state: running, new_state: waiting

time: 317, pid: 1001, old state: ready, new_state: running

time: 327, pid: 1001, old state: running, new_state: waiting

time: 327, pid: 1004, old state: ready, new_state: running

time: 337, pid: 1004, old state: running, new_state: waiting

time: 337, pid: 1005, old state: ready, new_state: running

time: 351, pid: 1007, old state: waiting, new_state: ready

time: 361, pid: 1005, old state: running, new_state: waiting

time: 361, pid: 1002, old state: ready, new_state: running

time: 364, pid: 1004, old state: waiting, new_state: ready

time: 386, pid: 1002, old state: running, new_state: waiting

time: 386, pid: 1006, old state: ready, new_state: running

time: 403, pid: 1002, old state: waiting, new_state: ready

time: 403, pid: 1005, old state: waiting, new_state: ready

time: 430, pid: 1006, old state: running, new_state: terminated

time: 430, pid: 1007, old state: ready, new_state: running

time: 448, pid: 1007, old state: running, new_state: terminated

time: 448, pid: 1004, old state: ready, new_state: running

time: 458, pid: 1004, old state: running, new_state: terminated

time: 458, pid: 1002, old state: ready, new_state: running

time: 483, pid: 1002, old state: running, new_state: waiting

time: 483, pid: 1005, old state: ready, new_state: running

time: 500, pid: 1002, old state: waiting, new_state: ready

time: 507, pid: 1005, old state: running, new_state: waiting

time: 507, pid: 1002, old state: ready, new_state: running

time: 532, pid: 1002, old state: running, new_state: waiting

time: 549, pid: 1002, old state: waiting, new_state: ready

time: 549, pid: 1005, old state: waiting, new_state: ready

time: 549, pid: 1002, old state: ready, new_state: running

time: 574, pid: 1002, old state: running, new_state: waiting

